pay_stay_zone,day_of_week,start_time,end_time,minimum_stay,maximum_stay,cost_per_hour
30001098,4,7:30,18:30,0,180,240
30001098,5,7:30,18:30,0,180,240
30001098,6,7:30,18:30,0,180,240
30001098,7,7:30,12:30,0,180,240
30001099,2,7:30,19:30,0,60,320
30001099,3,7:30,19:30,0,60,320
30001099,4,7:30,19:30,0,60,320
30001099,5,7:30,19:30,0,60,320
30001099,6,7:30,19:30,0,60,320
30001099,7,7:30,19:30,0,60,320
30001100,2,7:30,18:30,0,180,240
30001100,3,7:30,18:30,0,180,240
30001100,4,7:30,18:30,0,180,240
30001100,5,7:30,18:30,0,180,240
30001100,6,7:30,18:30,0,180,240
30001100,7,7:30,12:30,0,180,240
30001101,2,7:30,18:30,0,30,320
30001101,3,7:30,18:30,0,30,320
30001101,4,7:30,18:30,0,30,320
30001101,5,7:30,18:30,0,30,320
30001101,6,7:30,18:30,0,30,320
30001101,7,7:30,12:30,0,30,320
30001102,2,7:30,18:30,0,60,320
30001102,3,7:30,18:30,0,60,320
30001102,4,7:30,18:30,0,60,320
30001102,5,7:30,18:30,0,60,320
30001102,6,7:30,18:30,0,60,320
30001102,7,7:30,12:30,0,60,320
30001103,2,7:30,18:30,0,240,240
30001103,3,7:30,18:30,0,240,240
30001103,4,7:30,18:30,0,240,240
30001103,5,7:30,18:30,0,240,240
30001103,6,7:30,18:30,0,240,240
30001103,7,7:30,12:30,0,240,240
30001104,2,7:30,18:30,0,60,320
30001104,3,7:30,18:30,0,60,320
30001104,4,7:30,18:30,0,60,320
30001104,5,7:30,18:30,0,60,320
30001104,6,7:30,18:30,0,60,320
30001104,7,7:30,12:30,0,60,320
30001105,2,7:30,18:30,0,120,320
30001105,3,7:30,18:30,0,120,320
30001105,4,7:30,18:30,0,120,320
30001105,5,7:30,18:30,0,120,320
30001105,6,7:30,18:30,0,120,320
30001105,7,7:30,12:30,0,120,320
30001106,2,7:30,18:30,0,180,240
30001106,3,7:30,18:30,0,180,240
30001106,4,7:30,18:30,0,180,240
30001106,5,7:30,18:30,0,180,240
30001106,6,7:30,18:30,0,180,240
30001106,7,7:30,12:30,0,180,240
30001107,2,7:30,18:30,0,60,320
